config,pods,duration_seconds,intervals,min_cpu,max_cpu,avg_cpu,min_memory,max_memory,avg_memory,cpu_cost,memory_cost,compute_cost,total_requests,max_achieved_rps,avg_achieved_rps,cost_per_rps,request_cost,total_cost,compute_percentage,request_percentage
Python A1 (1 pod),1,445.103786,199,3,96,73.68844221105527,43,52,50.31658291457286,0.0007875516520560003,5.4678161359863257e-05,0.0008422298134158635,9233,32.1,25.646666666666665,0.00014129064839301755,0.0036932,0.004535429813415864,18.570010959590558,81.42998904040944
Python A2 (1 pod),1,446.47016799999994,200,3,95,72.755,43,52,50.495,0.0007800679238399995,5.504155172607421e-05,0.0008351094755660737,9355,32.57,25.986666666666665,0.00014053145457679073,0.0037420000000000005,0.004577109475566075,18.24534632663099,81.754653673369
Python A3 (1 pod),1,447.17779299999995,200,4,97,73.6,43,53,51.035,0.0007909423515600001,5.572044755371096e-05,0.0008466627991137111,9416,32.65,26.156666666666666,0.00014128829400041995,0.0037664000000000005,0.004613062799113711,18.353593609789506,81.6464063902105
Python A4 (1 pod),1,447.08948,200,3,97,73.265,42,51,50.15,0.0007872547750800001,5.474190470458987e-05,0.00084199667978459,9504,33.47,26.400000000000002,0.00013873907020569437,0.0038016000000000005,0.00464359667978459,18.13242488199145,81.86757511800855
Python A5 (1 pod),1,446.908599,200,4,95,73.48,42,52,50.11,0.000788951197584,5.4680616459960964e-05,0.000843631814043961,9560,34.02,26.545,0.0001372025812476179,0.0038240000000000006,0.004667631814043962,18.074086552963394,81.9259134470366
NodeJS A1 (1 pod),1,445.818302,200,8,96,72.605,37,60,52.88,0.0007773644812080004,5.759804637207033e-05,0.0008349625275800707,9497,34.17,26.38,0.00013560908772549228,0.0037988,0.004633762527580071,18.019104833499533,81.98089516650046
NodeJS A2 (1 pod),1,446.90654800000004,200,25,93,73.91,36,58,51.445,0.0007931883342959999,5.616392109863281e-05,0.0008493522553946327,9311,32.98,25.86333333333333,0.00013868260325635638,0.0037244,0.004573752255394633,18.5701412749858,81.4298587250142
NodeJS A3 (1 pod),1,445.667253,200,0,89,72.805,0,55,50.62,0.0007794135559199998,5.5111479775390635e-05,0.0008345250356953905,9326,32.38,25.905,0.00014097977256625663,0.0037304,0.00456492503569539,18.281242937612983,81.71875706238703
NodeJS A4 (1 pod),1,445.918208,200,0,91,74.475,0,61,53.365,0.0007978271151359999,5.81529732788086e-05,0.0008559800884148085,9395,33.22,26.096666666666664,0.00013889163420875402,0.0037580000000000005,0.004613980088414809,18.551880849336115,81.44811915066389
NodeJS A5 (1 pod),1,446.425254,200,0,92,71.85,0,59,51.895,0.0007705285843679998,5.660710320068362e-05,0.0008271356875686834,9568,34.32,26.578333333333333,0.00013561584171237423,0.0038272000000000002,0.004654335687568683,17.77129418872578,82.22870581127422
Go A1 (1 pod),1,446.53303600000004,200,0,81,63.32,0,26,24.41,0.0006790701456960002,2.66264471118164e-05,0.0007056965928078166,9418,32.98,26.159999999999997,0.00013562451767155296,0.0037672,0.004472896592807816,15.777172088944328,84.22282791105567
Go A2 (1 pod),1,446.94882599999994,200,15,80,62.565,11,27,24.87,0.0006714388061520001,2.7145796657714852e-05,0.0006985846028097149,9268,31.92,25.743333333333336,0.000138025833421357,0.0037072000000000003,0.004405784602809716,15.856077084753629,84.14392291524636
Go A3 (1 pod),1,446.44849800000003,200,0,81,61.85,0,26,24.385,0.0006635004672960002,2.6595660495605463e-05,0.0006900961277916057,9635,34.03,26.763333333333335,0.00013353206370236867,0.003854,0.0045440961277916055,15.186653371415074,84.81334662858492
Go A4 (1 pod),1,446.143287,200,0,82,61.475,0,26,24.105,0.0006587804485440002,2.6270460893554706e-05,0.0006850509094375549,9621,34.17,26.726666666666663,0.00013267342433238383,0.0038484,0.004533450909437555,15.111025201826791,84.8889747981732
Go A5 (1 pod),1,446.78376599999996,200,0,80,61.15,0,27,24.39,0.000656204111616,2.6621891545410148e-05,0.0006828260031614102,9605,34.22,26.679999999999996,0.00013222752785392784,0.0038420000000000004,0.00452482600316141,15.0906576890323,84.9093423109677
