Configuration,Pods,Avg CPU (m),Avg Memory (MiB),Total Requests,Max Achieved RPS,CPU Cost,Memory Cost,Total Cost,Cost/Million Req,Cost/Achieved RPS
Python A1 (1 pod),1,73.7,50.3,9233,32.1,$0.000591,$0.000044,$0.000634,$0.07,$0.000020
Python A2 (1 pod),1,72.8,50.5,9355,32.6,$0.000585,$0.000044,$0.000629,$0.07,$0.000019
Python A3 (1 pod),1,73.6,51.0,9416,32.6,$0.000593,$0.000045,$0.000638,$0.07,$0.000020
Python A4 (1 pod),1,73.3,50.2,9504,33.5,$0.000590,$0.000044,$0.000634,$0.07,$0.000019
Python A5 (1 pod),1,73.5,50.1,9560,34.0,$0.000592,$0.000044,$0.000635,$0.07,$0.000019
NodeJS A1 (1 pod),1,72.6,52.9,9497,34.2,$0.000583,$0.000046,$0.000629,$0.07,$0.000018
NodeJS A2 (1 pod),1,73.9,51.4,9311,33.0,$0.000595,$0.000045,$0.000640,$0.07,$0.000019
NodeJS A3 (1 pod),1,72.8,50.6,9326,32.4,$0.000585,$0.000044,$0.000629,$0.07,$0.000019
NodeJS A4 (1 pod),1,74.5,53.4,9395,33.2,$0.000598,$0.000047,$0.000645,$0.07,$0.000019
NodeJS A5 (1 pod),1,71.8,51.9,9568,34.3,$0.000578,$0.000045,$0.000623,$0.07,$0.000018
Go A1 (1 pod),1,63.3,24.4,9418,33.0,$0.000509,$0.000021,$0.000531,$0.06,$0.000016
Go A2 (1 pod),1,62.6,24.9,9268,31.9,$0.000504,$0.000022,$0.000525,$0.06,$0.000016
Go A3 (1 pod),1,61.8,24.4,9635,34.0,$0.000498,$0.000021,$0.000519,$0.05,$0.000015
Go A4 (1 pod),1,61.5,24.1,9621,34.2,$0.000494,$0.000021,$0.000515,$0.05,$0.000015
Go A5 (1 pod),1,61.2,24.4,9605,34.2,$0.000492,$0.000021,$0.000513,$0.05,$0.000015
