config,pods,duration_seconds,intervals,min_cpu,max_cpu,avg_cpu,min_memory,max_memory,avg_memory,cpu_cost,memory_cost,total_cost,total_requests,avg_of_max_rps,avg_achieved_rps,cost_per_rps,cost_per_million_requests
Python C1 (1 pod),1,1405.105925,625,6,166,121.4832,43,83,64.0752,0.0030756714170040033,0.00017605237329492178,0.003251723790298925,93075,74.52857142857142,73.86809523809525,4.3630566478996504e-05,0.03493659726348563
Python C2 (2 pods),2,2997.882815,1312,7,314,199.75381097560975,85,150,121.1829268292683,0.010847595087828007,0.0007107047218867181,0.011558299809714725,313375,131.96923076923076,130.76948717948721,8.75832930323452e-05,0.03688328618975581
Python C3 (4 pods),4,4286.539042,1780,13,606,428.26741573033706,186,267,235.26966292134833,0.03341552361593398,0.0019759027836249964,0.03539142639955897,918112,234.38863636363638,231.83939393939397,0.00015099463416243366,0.038548049039288206
Python C4 (7 pods),7,4662.007989,1909,21,931,618.6946045049764,316,393,377.73651126244107,0.052652776816547946,0.0034421649367968776,0.056094941753344826,1118303,259.85875,258.8613888888889,0.0002158670499005511,0.050160771949413374
Python C5 (8 pods),8,4663.324391,1887,23,1015,664.1822999470058,344,431,417.4546899841018,0.05666545371616198,0.0038049941123457056,0.06047044782850769,1112558,258.7316666666667,257.51930555555555,0.00023371877361426325,0.0543526250573073
NodeJS C1 (1 pod),1,1405.7641640000002,623,0,131,99.61637239165329,0,107,81.37399678972713,0.0025230455087219997,0.00022378689883398442,0.002746832407555984,92800,74.39,73.64714285714285,3.692475342863267e-05,0.02959948715038776
NodeJS C2 (2 pods),2,2489.5185109999998,1075,0,266,190.93581395348838,0,189,147.02139534883722,0.008588061751050001,0.0007171136059062503,0.009305175356956252,272688,127.40916666666668,126.23000000000002,7.303379811988608e-05,0.03412389014902105
NodeJS C3 (4 pods),4,4736.924891,1989,6,550,371.9959778783308,153,350,289.06586224233286,0.03193607670388193,0.002686449753625003,0.034622526457506936,1095412,255.12708333333333,251.01611111111112,0.00013570698181137938,0.031606853364311266
NodeJS C4 (7 pods),7,6965.831926999999,2718,7,917,628.4974245768948,262,574,481.74650478292864,0.08047349622413993,0.006623939277501952,0.08709743550164188,2454380,381.37611111111113,378.7346296296296,0.00022837674663966218,0.03548653244470778
NodeJS C5 (8 pods),8,4661.934938,1888,40,902,606.9465042372881,309,595,505.896186440678,0.05173052187816001,0.004631460381697267,0.05636198225985728,1117283,259.95,258.61611111111114,0.00021681855072074353,0.050445574003951804
Go C1 (1 pod),1,1404.714802,627,1,104,79.57416267942584,13,54,35.99840510366826,0.002013732882503999,9.893798609570319e-05,0.0021126708685997022,93612,75.15714285714284,74.2947619047619,2.8110047671921532e-05,0.022568376582058947
Go C2 (2 pods),2,2492.343955,1066,3,215,154.23264540337712,24,92,64.85272045028142,0.006926886268506007,0.00031833023621093766,0.007245216504716944,269456,126.27333333333333,124.74777777777778,5.737724912663226e-05,0.026888310168327833
Go C3 (4 pods),4,4862.041201,2040,4,417,306.4049019607843,49,140,120.04019607843138,0.026969744256138004,0.0011437650072011717,0.028113509263339175,1166902,261.9792,259.29760000000005,0.00010731198989591226,0.024092433866202283
Go C4 (7 pods),7,7222.85339,2816,7,731,526.8544034090909,85,217,196.9229403409091,0.06987960689470199,0.0027926411718652406,0.07267224806656723,2605034,393.82270270270277,391.09549549549547,0.0001845303675177599,0.027896852043607583
Go C5 (8 pods),8,8180.538377,3216,12,848,611.6937189054727,102,244,227.17319651741295,0.091598120879742,0.0036426938685527304,0.09524081474829474,3457711,460.38499999999993,457.3503174603175,0.00020687210649411852,0.027544469375345347
